label,nucleus_volume_um3,gfap_volume_um3,mean_gfap_intensity,total_process_length_um,num_branches,territory_volume_um3,sholl_max_intersections
26,96.82050406608003,0.14450821502400005,85.0,0.0,0,81.02093922345612,1
27,115.31755558915204,0.0,0.0,0.0,0,96.38697942100806,0
44,229.91257010318407,21.38721582355201,158.35135135135135,1.1364,2,205.77969819417632,3
111,204.04559961388807,9.537542191584004,100.0,5.020887298968663,4,259.72943180313655,5
124,90.46214260502403,0.0,0.0,0.0,0,85.06716924412822,0
133,121.09788419011204,0.14450821502400005,147.0,0.0,0,106.69523209272019,1
136,139.88395214323205,6.936394321152003,106.66666666666667,0.7576,1,128.61231137136053,3
137,239.16109586472007,1.5895903652640004,127.72727272727273,0.3788,1,230.8518735008403,2
138,88.72804402473604,20.520166533408005,120.57042253521126,1.5152,4,73.94003668727989,2
140,229.91257010318407,31.21377444518401,127.91203703703704,8.212245143800201,9,226.87789758767974,4
141,273.9875756855041,0.0,0.0,0.0,0,251.51654824927135,0
142,289.88347933814407,87.71648651956802,138.22899505766063,10.702416053061151,8,263.0772054511916,2
145,241.32871909008009,2.890164300480001,102.9,1.1364,1,219.02628457137556,2
146,399.85423097140813,10.404591481728003,109.08333333333333,3.815604097426929,4,385.6201717915448,5
149,211.27101036508807,2.0231150103360007,121.78571428571429,0.0,0,205.20166533408008,2
150,371.96414547177613,1.7340985802880007,122.08333333333333,0.3788,1,386.3427128666642,2
152,252.31134343190408,15.317870792544005,111.44339622641509,5.404001676014907,4,226.25169532257559,5
156,210.11494464489607,21.820740468624006,114.36423841059603,6.3743975785879785,5,189.71520162400836,3
158,110.11525984828803,1.4450821502400004,98.6,1.8335832015417344,1,89.69143212489624,2
159,203.46756675379206,0.14450821502400005,138.0,0.0,0,179.14201722475207,1
161,268.0627388695201,49.56631775323201,129.82215743440233,9.921526332680466,6,276.92590939099154,7
163,193.93002456220808,7.658935396272002,127.62264150943396,2.050904097426929,3,175.62565065916866,4
166,233.52527547878407,0.2890164300480001,92.0,0.0,0,209.39240356977618,1
167,322.3978277185441,1.1560657201920004,102.75,1.5152,3,289.61854761059993,3
168,307.9470062161441,19.653117243264006,129.72794117647058,5.713918474473173,5,285.95767282999225,3
171,256.6465898826241,102.88984909708803,154.13623595505618,5.113483201541735,7,239.32968878224804,6
173,227.74494687782408,2.890164300480001,111.95,0.7576,1,220.30277380408742,3
176,317.1955319776801,41.473857711888016,144.2822299651568,17.4731800347326,8,337.7638679160966,9
177,323.8429098687841,21.676232253600006,118.70666666666666,3.3442081948538576,4,325.57700844907345,1
178,308.5250390762401,8.092460041344003,123.39285714285714,4.734683201541735,4,277.40760344107224,4
179,315.60594161241613,8.092460041344003,103.23214285714286,6.314614377046245,5,304.04528441049627,5
180,287.7158561127841,0.14450821502400005,79.0,0.0,0,265.7746921316405,1
182,296.6753654442721,0.0,0.0,0.0,0,265.36525218907246,0
185,180.63526878000005,2.1676232253600007,86.73333333333333,0.7576,1,161.41567618180827,2
187,324.2764345138561,20.953691178480007,151.6689655172414,3.1506000000000003,4,316.1598897700078,4
188,78.17894432798403,4.9132793108160016,139.64705882352942,4.097283201541735,2,62.258955972840106,2
189,176.87805518937606,2.0231150103360007,99.64285714285714,1.3859000000000001,2,149.22881671478413,5
190,264.7390499239681,38.583693411408014,122.17602996254682,10.891709870868766,11,241.13604147004799,5
193,187.71617131617606,0.0,0.0,0.0,0,172.22970760610397,0
198,283.9586425221601,3.034672515504001,101.76190476190476,1.3859000000000001,2,262.98086664117625,7
199,332.3688945552001,18.786067953120007,122.94615384615385,4.323704097426929,8,353.46709394870413,11
200,234.68134119897607,3.6127053756000014,164.0,0.0,0,209.41648827227968,3
202,237.71601371448008,0.14450821502400005,99.0,0.0,0,208.5253542796322,1
204,319.65217163308813,63.43910639553602,149.07972665148063,10.328141046373274,8,304.2861314355363,5
205,134.82616461739204,0.0,0.0,0.0,0,122.25394991030375,0
206,285.1147082423521,8.525984686416002,129.1864406779661,2.5911832015417344,2,276.9259093909919,4
207,493.92907895203217,10.693607911776004,127.22972972972973,4.045966403083469,2,475.19118040392027,4
208,260.98183633334406,81.35812505851203,155.60390763765542,17.30717593730567,14,234.3923247689278,5
212,282.3690521568961,0.0,0.0,0.0,0,273.81898276797625,0
213,273.4095428254081,6.069345031008002,123.76190476190476,3.4001,2,246.86820066600058,2
215,204.62363247398406,46.531645237728014,146.7639751552795,7.308300000000001,7,184.320228263112,3
216,146.96485467940803,0.2890164300480001,96.0,0.0,0,129.06992071893572,1
217,324.2764345138561,69.79746785659202,148.0144927536232,8.305101676014907,5,316.42482149755165,4
218,257.80265560281606,155.34633115080004,147.73767441860466,22.591963572920896,17,233.3085131562486,4
221,169.65264443817605,3.034672515504001,112.14285714285714,0.3788,1,142.91862465873518,3
222,144.21919859395206,2.601147870432001,135.88888888888889,2.4618832015417347,1,131.28571334930393,1
224,75.57779645755203,74.42173073736002,179.16699029126212,19.104053293301586,15,67.48533641620811,1
227,252.6003598619521,1.4450821502400004,100.3,0.7576,1,232.1042780310488,2
229,130.05739352160003,35.260004465856014,156.88934426229508,8.208191396395591,5,109.32046466565608,1
230,272.3979853202401,31.358282660208012,140.91705069124424,9.884609870868765,8,238.63123240963336,7
238,283.8141343071361,4.046230020672001,127.92857142857143,1.8940000000000001,2,289.1127688580164,3
239,222.25363470691207,1.1560657201920004,90.375,2.0142,2,198.48203333546414,5
250,170.80871015836806,0.14450821502400005,107.0,0.0,0,146.89260057189597,1
252,253.7564255821441,0.0,0.0,0.0,0,222.68715935198446,0
253,167.77403764286404,3.179180730528001,141.86363636363637,1.2933040974269285,1,146.41090652181592,4
254,161.41567618180807,28.32361014470401,127.86224489795919,14.429999254602887,15,140.96776375591168,2
255,111.99386664360004,16.040411867664005,117.90090090090091,4.549914377046244,6,94.53245732819973,6
263,143.06313287376005,0.0,0.0,0.0,0,126.90229749357637,0
264,135.54870569251204,45.520087732560015,152.47619047619048,8.393122571900102,9,117.990957567096,2
265,100.86673408675203,2.0231150103360007,101.85714285714286,0.3788,1,88.9688910497761,6
266,200.57740245331206,42.34090700203201,161.89078498293514,6.222018474473173,4,178.8770854972085,2
267,245.08593268070408,4.190738235696001,126.27586206896552,3.034714377046244,3,222.10912649188808,3
268,204.91264890403207,2.3121314403840008,137.125,1.3859000000000001,2,175.74607417168792,1
274,164.30584048228806,1.3005739352160004,97.77777777777777,0.0,0,139.6190204156886,2
281,160.11510224659204,0.14450821502400005,81.0,0.0,0,136.0544844450962,1
282,138.29436177796805,75.43328824252802,145.19731800766283,17.97670502804472,9,113.67979581888024,1
283,166.90698835272005,0.5780328600960002,147.5,0.0,0,140.05254506076034,1
291,93.06329047545603,0.0,0.0,0.0,0,75.33694943251207,0
295,110.11525984828803,1.4450821502400004,91.9,1.7647000000000002,3,88.27043467715988,3
296,201.73346817350406,35.40451268088001,122.18775510204081,11.806474597937328,9,183.26050135293627,8
297,160.54862689166404,0.0,0.0,0.0,0,135.0670116424324,0
298,79.62402647822402,1.1560657201920004,135.875,0.0,0,61.825431327767845,2
299,112.42739128867204,0.0,0.0,0.0,0,89.66734742239187,0
302,118.93026096475204,58.52582708472002,168.5358024691358,12.854332442768863,6,97.03726638861599,2
303,121.53140883518404,17.919018662976004,130.2983870967742,5.464418474473173,5,95.73669245339975,5
309,93.64132333555203,0.0,0.0,0.0,0,74.56623895238415,0
310,84.10378114396802,58.67033529974402,183.4039408866995,21.16806287287626,12,67.34082820118408,1
322,112.71640771872003,1.0115575051680004,122.57142857142857,2.2123832015417344,1,79.88895820576786,2
